Date,BGT North of NE 70th St Logger Total Cyclists,Elliott Bay Trl in Myrtle Edwards Park Total Cyclists,MTS Trl West of I-90 Bridge Total Cyclists,Spokane St. Bridge Total Cyclists
10/05/2015 00:00,1235,1725,769,1221
10/06/2015 00:00,1037,1403,651,1149
10/07/2015 00:00,466,760,283,673
10/08/2015 00:00,924,1257,644,1098
10/09/2015 00:00,723,1168,451,792
10/10/2015 00:00,280,155,185,114
10/11/2015 00:00,1307,888,928,485
10/12/2015 00:00,816,1192,542,955
10/13/2015 00:00,815,1317,477,956
10/14/2015 00:00,934,1442,591,1125
10/15/2015 00:00,1120,1395,644,979
10/16/2015 00:00,1312,1519,667,982
10/17/2015 00:00,1093,750,747,387
10/18/2015 00:00,478,353,250,184
10/19/2015 00:00,702,1194,433,835
